Year,WheatType,State,Acre1000,YieldBu,Prod1000Bu,StemPer,LeafPer,StripePer
1918,All wheat,Colorado,1225,17.2,21025,0.5,0,0
1918,All wheat,Illinois,2900,20,58050,0,0,0
1918,All wheat,Indiana,2350,22,51707,0,0,0
1918,All wheat,Iowa,1060,19,20142,0,0,0
1918,All wheat,Kansas,7250,13.5,97710,0,0,0
1918,All wheat,Michigan,760,14.2,10315,0.5,0,0
1918,All wheat,Minnesota,3450,20,68860,0.1,0,0
1918,All wheat,Missouri,3100,17.2,53268,0,0,0
1918,All wheat,Montana,2386,12.6,29961,0,0,0
1918,All wheat,Nebraska,3826,11.3,43198,0,0,0
1918,All wheat,North Dakota,7770,13.6,105672,0.5,0,0
1918,All wheat,Ohio,2550,18.5,47213,0.1,0,0
1918,All wheat,Oklahoma,3200,11.5,36800,0,0,0
1918,All wheat,Pennsylvania,1340,16,21426,0.3,0,0
1918,All wheat,South Dakota,3280,17.8,58500,0.7,0,0
1918,All wheat,Texas,1000,7.5,7500,0,0,0
1918,All wheat,Virginia,1020,12,12240,0,0,0
1918,All wheat,Washington,2315,12.5,28975,0,0,0
1918,All wheat,West Virginia,275,12,3300,0,0,0
1918,All wheat,Wisconsin,424,22.3,9465,0.5,0,0
1918,All wheat,Wyoming,198,18.8,3732,0,0,0
1919,All wheat,Colorado,1329,13.8,18300,1,0.1,0
1919,All wheat,Illinois,4103,17.2,70496,1,1,0
1919,All wheat,Indiana,2799,16.1,45122,1,1,0
1919,All wheat,Iowa,1438,14.3,20501,8,1.5,0
1919,All wheat,Kansas,11624,13.2,153311,10,1.5,0
1919,All wheat,Michigan,1056,19.3,20401,8,1,0
1919,All wheat,Minnesota,3878,9.5,36790,20,1,0
1919,All wheat,Missouri,4577,14.3,65346,4,2,0
1919,All wheat,Montana,1698,5,8493,0,0,0
1919,All wheat,Nebraska,4427,13.2,58304,10,1.5,0
1919,All wheat,North Dakota,9098,6.7,61256,20,1,0
1919,All wheat,Ohio,2992,19.9,58135,1,1,0
1919,All wheat,Oklahoma,4718,14,66052,4,4,0
1919,All wheat,Pennsylvania,1425,16.5,23448,0,1,0
1919,All wheat,South Dakota,3896,8.1,31473,10,0.5,0
1919,All wheat,Texas,2415,15.5,37432,3,4,0
1919,All wheat,Virginia,991,11.8,11694,0,3,0
1919,All wheat,Washington,2495,16.8,41888,0,0,0
1919,All wheat,West Virginia,298,13,3874,12,3,0
1919,All wheat,Wisconsin,530,13.9,7385,15,1,0
1919,All wheat,Wyoming,184,8,1479,0,0,0
1920,All wheat,Colorado,1410,15.6,21967,1,0,0
1920,All wheat,Illinois,2990,15.4,45900,0.5,0.5,0
1920,All wheat,Indiana,2108,12,25326,0.1,0.1,0
1920,All wheat,Iowa,613,17.4,10684,7,1,0
1920,All wheat,Kansas,9294,15.6,144933,0,0,0
1920,All wheat,Michigan,1055,15.3,16140,8,0,0
1920,All wheat,Minnesota,2630,9.9,26120,30,0,0
1920,All wheat,Missouri,3065,13,39845,0.5,1,0
1920,All wheat,Montana,3608,12.4,44766,0,0,0
1920,All wheat,Nebraska,3593,16.8,60480,12,1,0
1920,All wheat,North Dakota,9793,8.8,86214,20,1.5,0
1920,All wheat,Ohio,2393,13,31216,0,0,0
1920,All wheat,Oklahoma,3727,15,55905,0,2,0
1920,All wheat,Pennsylvania,1323,16,21148,0,0,0
1920,All wheat,South Dakota,2938,9.2,27098,20,1,0
1920,All wheat,Texas,1570,13,20410,1,1,0
1920,All wheat,Virginia,820,13,10660,0,2,0
1920,All wheat,Washington,2325,17.2,40070,0,0,0
1920,All wheat,West Virginia,212,12.5,2650,3,0,0
1920,All wheat,Wisconsin,351,15.4,3395,30,0,0
1920,All wheat,Wyoming,201,16.5,3318,0,0,0
1921,All wheat,Colorado,1751,14.5,25374,0,0,0
1921,All wheat,Illinois,2909,16.2,47180,0.5,0.4,0
1921,All wheat,Indiana,2123,12,25488,1,7,0
1921,All wheat,Iowa,563,17.9,10053,10,0,0
1921,All wheat,Kansas,10554,12.7,133964,0,1,0
1921,All wheat,Michigan,925,15.9,14680,5,0,0
1921,All wheat,Minnesota,2348,9.9,23225,7,0,0
1921,All wheat,Missouri,3249,10.8,35096,0,0,0
1921,All wheat,Montana,3435,12.2,42034,2.5,1,0
1921,All wheat,Nebraska,3967,15.1,59814,0,0,0
1921,All wheat,North Dakota,10734,8.2,87733,10,3,0
1921,All wheat,Ohio,2127,12.5,26606,6,4,0
1921,All wheat,Oklahoma,4100,13,53300,0,10,0
1921,All wheat,Pennsylvania,1250,17,21238,0,0,0
1921,All wheat,South Dakota,2870,9.1,26194,10,5,0
1921,All wheat,Texas,2072,10,20720,0,0,0
1921,All wheat,Virginia,773,10.5,8116,1,5,0
1921,All wheat,Washington,2152,23.2,49979,0,0,0
1921,All wheat,West Virginia,211,12,2532,0,0,2
1921,All wheat,Wisconsin,225,13.7,3075,10,0,0
1921,All wheat,Wyoming,195,13.5,2624,0,0,0
1922,All wheat,Colorado,1878,12,22587,0,0,0
1922,All wheat,Illinois,3196,17.4,55764,0.5,10,0
1922,All wheat,Indiana,1996,14.5,28944,0.7,10,0
1922,All wheat,Iowa,739,22.5,16612,1,0,0
1922,All wheat,Kansas,9756,12.8,124809,0.03,1,0
1922,All wheat,Michigan,1023,15,15354,2,2,0
1922,All wheat,Minnesota,2101,13,27330,5,0.5,0
1922,All wheat,Missouri,3021,12.5,37770,0,0,0
1922,All wheat,Montana,3358,15.6,52533,0,0,0
1922,All wheat,Nebraska,4177,13.8,57773,0.5,0,0
1922,All wheat,North Dakota,9414,13.8,130339,10,1,0
1922,All wheat,Ohio,2106,15,31602,2,5,0
1922,All wheat,Oklahoma,3772,8.5,32062,0,5,0
1922,All wheat,Pennsylvania,1274,18,22917,0,4,0
1922,All wheat,South Dakota,3022,13.7,41330,3,0,0
1922,All wheat,Texas,1243,8,9994,10,1,0
1922,All wheat,Virginia,716,13,9308,0,5,0
1922,All wheat,Washington,2058,13.6,27974,0,0,0
1922,All wheat,West Virginia,179,12.6,2250,0,0,3
1922,All wheat,Wisconsin,186,15.7,2924,5.1,1,0
1922,All wheat,Wyoming,179,12.6,2250,0,0,0
1923,All wheat,Colorado,1538,11.8,18136,10,1,0
1923,All wheat,Illinois,3429,18,61808,1.5,3,0
1923,All wheat,Indiana,2135,17,36307,0,2,0
1923,All wheat,Iowa,737,18.6,13689,1,1.5,0
1923,All wheat,Kansas,8299,10.1,83804,1,1,0
1923,All wheat,Michigan,910,17.5,15917,2,0,0
1923,All wheat,Minnesota,1871,12.8,23864,15,0,0
1923,All wheat,Missouri,2810,13.3,37371,0,1,0
1923,All wheat,Montana,3274,15,49107,18,0,0
1923,All wheat,Nebraska,3252,9.9,32168,4,1,0
1923,All wheat,North Dakota,8411,8.2,68655,12,1,0
1923,All wheat,Ohio,2062,19,39188,2,4,0
1923,All wheat,Oklahoma,3847,11,42317,0,0,0
1923,All wheat,Pennsylvania,1210,18,21768,0,1.5,0
1923,All wheat,South Dakota,2883,9.5,27329,10,1,0
1923,All wheat,Texas,1554,10.5,16317,2,1,0
1923,All wheat,Virginia,682,14,9548,0.2,1,0
1923,All wheat,Washington,1998,25.3,50479,0,0,0
1923,All wheat,West Virginia,148,12.5,1850,0,1,0
1923,All wheat,Wisconsin,133,16.7,2221,1,0,0
1923,All wheat,Wyoming,173,11.8,2038,0,0,0
1924,All wheat,Colorado,1360,13,17264,0,0,0
1924,All wheat,Illinois,2363,16.1,37968,0.75,2.4,0
1924,All wheat,Indiana,1730,16.5,28543,0,0,0
1924,All wheat,Iowa,455,21.9,9983,0,0,0
1924,All wheat,Kansas,9817,16,157022,0,0,0
1924,All wheat,Michigan,793,23.8,18856,0,0.5,0
1924,All wheat,Minnesota,1710,21.9,37375,1,0,0
1924,All wheat,Missouri,1688,13.3,22449,0,0,0
1924,All wheat,Montana,3130,16.1,50422,0,0,0
1924,All wheat,Nebraska,3033,18.4,55686,0,0,0
1924,All wheat,North Dakota,8674,15.3,132715,3,0,0
1924,All wheat,Ohio,1857,18.5,34372,1,0,0
1924,All wheat,Oklahoma,3684,15.5,57102,3,0,0
1924,All wheat,Pennsylvania,1139,16,18224,0.2,1,0
1924,All wheat,South Dakota,2405,14.7,35235,1,0,0
1924,All wheat,Texas,1355,16,21680,1,1,0
1924,All wheat,Virginia,599,13.4,8027,0.3,1,0
1924,All wheat,Washington,1765,14.1,24935,0,0,0
1924,All wheat,West Virginia,144,12.4,1784,0.5,0,0
1924,All wheat,Wisconsin,116,24,2786,3,1,0
1924,All wheat,Wyoming,144,12.4,1784,0.5,0,0
1925,All wheat,Colorado,1487,11.5,17122,0,0,0
1925,All wheat,Illinois,2284,16.1,36814,0,1.5,0
1925,All wheat,Indiana,1816,14.5,26344,0,0,0
1925,All wheat,Iowa,396,16.3,6441,0.1,5,0
1925,All wheat,Kansas,8755,9.2,80539,0,0,0
1925,All wheat,Michigan,801,17,13627,0.5,0,0
