Year,Country,State,DataItem,LeafRust,SeptoriaTriticiBlotch,StripeRust,StemRust,FusariumHeadBlight,WheatBlast
2020,United States,Alabama,% Yield Supp.,0,0,0,0,0.5,0
2020,United States,Arkansas,% Yield Supp.,0.0001,0.001,0.001,0,0.01,0
2020,United States,Colorado,% Yield Supp.,,,1,0,0,0
2020,United States,DELMAR,% Yield Supp.,0.00001,0,0,0,1,0
2020,United States,Georgia,% Yield Supp.,0.1,0,0,0,1,0
2020,United States,Idaho,% Yield Supp.,0,0,0.5,0,0.1,0
2020,United States,Illinois,% Yield Supp.,0.001,0.1,0.1,0,0.2,0
2020,United States,Indiana,% Yield Supp.,0.001,0.01,0.0001,0,1,0
2020,United States,Kansas,% Yield Supp.,2.82,0.32,2.87,0,1.88,0
2020,United States,Kentucky,% Yield Supp.,,,,,,
2020,United States,Louisiana,% Yield Supp.,0.1,0.025,0.1,0.025,4.5,0
2020,United States,Michigan,% Yield Supp.,0.1,2,0.5,0.001,2,0
2020,United States,Minnesota,% Yield Supp.,0,2,0,0,6.67,0
2020,United States,Mississippi,% Yield Supp.,0.025,0.015,0.005,0,1.25,0
2020,United States,Missouri,% Yield Supp.,0,0.1,0,0,2.5,0
2020,United States,Montana,% Yield Supp.,0,0.01,0.01,0,0.1,0
2020,United States,Nebraska,% Yield Supp.,1.5,1,1,0,0.01,0
2020,United States,New York,% Yield Supp.,0.05,0.1,0.01,0,0.01,0
2020,United States,North Carolina,% Yield Supp.,2,0,0,0,0.5,0
2020,United States,North Dakota,% Yield Supp.,0.0005,0,0,0,2,0
2020,United States,Ohio,% Yield Supp.,1,4,0,0,1,0
2020,United States,Oklahoma,% Yield Supp.,5,0.8,2,0,0,0
2020,United States,Oregon,% Yield Supp.,,,,,,
2020,United States,Pennsylvania,% Yield Supp.,0.1,0.01,0,0,5,0
2020,United States,South Dakota,% Yield Supp.,0.01,,0.06,0,1.5,
2020,United States,Tennessee,% Yield Supp.,0,0.5,0,0,0.01,0
2020,United States,Texas,% Yield Supp.,6,0,0.5,0,0,0
2020,United States,Virginia,% Yield Supp.,0.01,0.01,0,0,0.5,0
2020,United States,Washington,% Yield Supp.,,,,,,
2020,United States,Wisconsin,% Yield Supp.,0.25,0.5,0.1,0,2,0
2019,United States,Alabama,% Yield Supp.,0,0.05,0,0,0.05,0
2019,United States,Arkansas,% Yield Supp.,0,0.001,0,0,0.01,0
2019,United States,Colorado,% Yield Supp.,0,0,0.01,0,0,0
2019,United States,DELMAR,% Yield Supp.,0,0,0,0,1.5,0
2019,United States,Georgia,% Yield Supp.,0.1,0,0,0,1.5,0
2019,United States,Idaho,% Yield Supp.,0.01,0.001,2,,1,
