Year,State,Loss,Disease
2020,AL,0,Septoria leaf spot
2020,AR,0.001,Septoria leaf spot
2020,CO,0,Septoria leaf spot
2020,DE,0,Septoria leaf spot
2020,FL,,Septoria leaf spot
2020,GA,0,Septoria leaf spot
2020,IA,,Septoria leaf spot
2020,ID,0,Septoria leaf spot
2020,IL,0.1,Septoria leaf spot
2020,IN,0.01,Septoria leaf spot
2020,KS,0.32,Septoria leaf spot
2020,KY,0.4,Septoria leaf spot
2020,LA,0.025,Septoria leaf spot
2020,MD,0,Septoria leaf spot
2020,MI,2,Septoria leaf spot
2020,MN,0.05,Septoria leaf spot
2020,MO,0.1,Septoria leaf spot
2020,MS,0.015,Septoria leaf spot
2020,MT,0.01,Septoria leaf spot
2020,NC,0,Septoria leaf spot
2020,ND,0,Septoria leaf spot
2020,NE,1,Septoria leaf spot
2020,NY,0.1,Septoria leaf spot
2020,OH,4,Septoria leaf spot
2020,OK,0.8,Septoria leaf spot
2020,PA,0.01,Septoria leaf spot
2020,SC,,Septoria leaf spot
2020,SD,0,Septoria leaf spot
2020,TN,0.5,Septoria leaf spot
2020,TX,0,Septoria leaf spot
2020,VA,0.01,Septoria leaf spot
2020,WI,0.5,Septoria leaf spot
2019,AL,0.05,Septoria leaf spot
2019,AR,0.001,Septoria leaf spot
2019,CO,0,Septoria leaf spot
2019,DE,0,Septoria leaf spot
2019,FL,,Septoria leaf spot
2019,GA,0,Septoria leaf spot
2019,IA,,Septoria leaf spot
2019,ID,0.001,Septoria leaf spot
2019,IL,0.4,Septoria leaf spot
2019,IN,0.2,Septoria leaf spot
2019,KS,0.7,Septoria leaf spot
2019,KY,0.2,Septoria leaf spot
2019,LA,0.05,Septoria leaf spot
2019,MD,0,Septoria leaf spot
2019,MI,2,Septoria leaf spot
2019,MN,1,Septoria leaf spot
2019,MO,0.25,Septoria leaf spot
2019,MS,0.001,Septoria leaf spot
2019,MT,0.0005,Septoria leaf spot
2019,NC,0,Septoria leaf spot
2019,ND,0,Septoria leaf spot
2019,NE,0.15,Septoria leaf spot
2019,NY,0.25,Septoria leaf spot
2019,OH,5,Septoria leaf spot
2019,OK,0.6,Septoria leaf spot
2019,PA,0.01,Septoria leaf spot
2019,SC,,Septoria leaf spot
2019,SD,0.01,Septoria leaf spot
2019,TN,0.5,Septoria leaf spot
2019,TX,0,Septoria leaf spot
2019,VA,0.01,Septoria leaf spot
2019,WI,0.5,Septoria leaf spot
2018,AL,3,Septoria leaf spot
2018,AR,0.005,Septoria leaf spot
2018,CO,0,Septoria leaf spot
2018,DE,0.001,Septoria leaf spot
2018,FL,,Septoria leaf spot
2018,GA,0,Septoria leaf spot
2018,IA,,Septoria leaf spot
2018,ID,0.001,Septoria leaf spot
2018,IL,0.5,Septoria leaf spot
2018,IN,0.0001,Septoria leaf spot
2018,KS,0.001,Septoria leaf spot
2018,KY,0.5,Septoria leaf spot
2018,LA,0,Septoria leaf spot
2018,MD,0.001,Septoria leaf spot
2018,MI,1,Septoria leaf spot
2018,MN,1,Septoria leaf spot
2018,MO,0,Septoria leaf spot
2018,MS,0.001,Septoria leaf spot
2018,MT,0.01,Septoria leaf spot
2018,NC,0,Septoria leaf spot
2018,ND,0.025,Septoria leaf spot
2018,NE,0.0005,Septoria leaf spot
2018,NY,0.25,Septoria leaf spot
2018,OH,4,Septoria leaf spot
2018,OK,0,Septoria leaf spot
2018,PA,0.01,Septoria leaf spot
2018,SC,,Septoria leaf spot
2018,SD,0.01,Septoria leaf spot
2018,TN,0.5,Septoria leaf spot
2018,TX,,Septoria leaf spot
2018,VA,0.1,Septoria leaf spot
2018,WI,0.5,Septoria leaf spot
