"Year","Prod1000Bu","Acre1000","Stem1000Bu","Stripe1000Bu","Leaf1000Bu","StemPer","StripePer","LeafPer"
1918,789059,51679,1329.11263701372,0,0,0.00168159492249869,0,0
1919,841180,65971,65482.0181325875,0,13101.1048206427,0.0722231844093987,0,0.0153358241762742
1920,738245,56019,52398.4487617121,0,4528.55937691942,0.0662731713565418,0,0.00609682361434383
1921,719025,58533,19990.5420422533,51.6734693877551,15435.6738821245,0.0270502322414085,7.18608617053894e-05,0.0210163381526426
1922,752426,55394,20404.4736433929,69.5876288659794,17365.9275748773,0.0264022632896437,9.24757965495212e-05,0.0225592487434706
1923,653881,51356,34170.1017432103,0,7806.93042018955,0.0496621568610801,0,0.0117985081203339
1924,774212,47961,7621.9259655466,0,1540.68604239945,0.00974877875264073,0,0.00198605311991822
1925,589380,47651,12551.0442730105,0,1040.92359484427,0.020851299151997,0,0.00176301948871745
1926,733428,51321,5286.66084301548,0,3723.6290403938,0.007156566835945,0,0.00505137463406428
1927,768564,53941,30201.8052562712,0,25154.5212982712,0.0378105886074848,0,0.0316919923414744
1928,810024,53722,1744.7983379435,0,10017.9084657985,0.00214937842094435,0,0.0122163371924989
1929,724745,57818,8653.69543267098,0,10899.8454230817,0.0117994420859526,0,0.0148167223503252
1930,783908,57560,8216.11606616118,0,7205.22242146985,0.0103722584624288,0,0.00910770066440784
1931,814285,51870,5057.23276346255,0,22731.7254441315,0.00617230817750673,0,0.0271580301242724
1932,662583,52371,4275.4659071697,0,14124.6674107112,0.00641135432142038,0,0.0208726280060583
1933,468125,44037,366.007008864152,0,5533.85321487728,0.000781246605353145,0,0.011683204435676
1934,445040,39509,1382.0245527238,0,4136.24487876787,0.00309578039772672,0,0.00920851208390203
1935,527997,45324,122095.70242567,0,21855.2461090395,0.187812756503955,0,0.0397474890094484
1936,522875,42818,1236.20791089399,0,4603.12485466289,0.00235867482365339,0,0.00872666493218311
1937,746370,57488,74317.1502847258,0,19065.4078782748,0.0905547872401104,0,0.0249079251913922
1938,795478,62669,21010.9205516108,0,88396.3182429492,0.0257332586183975,0,0.100010053939198
1939,647624,47498,402.2359280507,0,14091.7487618513,0.000620709325872664,0,0.0212957735828694
1940,710518,47675,19245.6963356438,0,4791.88888888889,0.0263725044590216,0,0.0066990390644987
1941,824435,50399,2645.78857484841,0,11003.9710099992,0.00319894816975183,0,0.0131714839645271
1942,867915,44606,988.198298777246,0,1740.21676296563,0.00113729389040348,0,0.00200104217099171
1943,753146,46613,1718.5098262246,0,754.399966443706,0.00227658050399033,0,0.00100066264254175
1944,932561,53902,25861.3682313326,0,751.683080808081,0.0269832686387078,0,0.000805392548965285
1945,992274,59590,1625.79963552721,0,47012.1187409004,0.00163577821036226,0,0.0452350107378089
1946,1034799,61564,1258.62806933748,0,10524.4198562959,0.00121482438354601,0,0.0100680991704393
1947,1229694,67819,3320.73146311573,0,5909.24454913221,0.00269318068825933,0,0.00478247736496392
1948,1168455,66312,5342.07055495751,0,10238.0373175487,0.00455110230632271,0,0.00868592330098793
1949,972492,69520,5564.11562200638,0,38610.2344779954,0.00568895335669755,0,0.0381862814277419
1950,903726,56087,12113.770331979,0,6587.81366013742,0.0132269538017419,0,0.00723686003802306
1951,855616,56902,88.8989898989899,0,3564.89258861439,0.000103889775556888,0,0.00414917582474836
1952,1161171,65000,9095.11154373602,0,19556.0937950938,0.00777183193977852,0,0.0165627551852279
1953,1013734,61319,90475.3473133932,0,1117.03402445508,0.0819367699916008,0,0.00110068767435296
1954,859823,49444,75449.9606156071,0,8195.29220341062,0.0806715940616364,0,0.00944138191213388
1955,818376,42488,13716.6797320138,0,9689.915700487,0.0164845576293634,0,0.0117018651737283
1956,869673,45155,1903.27255398758,0,1988.1615097652,0.0021837131343771,0,0.0022808880303002
1957,821186,39003,6435.9160563511,0,19507.0784367528,0.00777639636105635,0,0.0232035673149894
1958,1351225,49182,913.053602525368,0,12581.0717827669,0.000675266552917953,0,0.00922497123533182
1959,1012133,47962,5252.68533353591,8534.11111111111,37760.0635317638,0.00516292435529392,0.00836130704928933,0.0359656281609688
1960,1271244,49259,11276.1404118358,21700.6666666667,6682.06359543257,0.00879217413943681,0.0167839098038225,0.00522883426967022
1961,1127837,47976,40083.1905400448,23688,11707.3916400276,0.0343201452160103,0.0205709819587069,0.0102737477591183
1962,1002446,40703,50571.8727570543,0,12818.1290946882,0.0480256547067382,0,0.0126254131583652
1963,1042188,42052,3899.20448890137,4441.66228070175,9897.98793955648,0.00372741820392158,0.00424377641946719,0.00940796479852475
1964,1168905,45598,4638.19279972192,0,12920.9273460824,0.00395229832883831,0,0.0109330207157477
1965,1207754,45838,26726.962828354,0,33369.5029280166,0.0216503645119963,0,0.0268865288984476
1966,1240230,47595,8.83749816423084,0,12379.0819746095,7.12564217232386e-06,0,0.00988263788978371
1967,1416509,55495,965.52039046424,15266.5382095103,9339.80833799682,0.000681155376393131,0.0106626617106489,0.00655034971687042
1968,1479934,51927,1912.04543123782,1535.56159585808,47068.8437335697,0.00129031314496736,0.00103651241690309,0.030824332729129
1969,1389984,45554,238.44887601169,738.44262295082,8043.54978706356,0.000171518504973413,0.000530977713682459,0.00575349876924005
1970,1491272,42176,9.42857142857143,2169.85209003215,11813.9496075956,6.32246284834615e-06,0.00145292037115171,0.00785979644788764
1971,1567948,46685,598.80275665381,485.598377281947,17151.5488236637,0.000381756384700437,0.00030960722709865,0.0108204868497958
1972,1522051,46473,852.575681673661,0,22444.6831379782,0.000559835629312273,0,0.0145320465333881
