yr,Andean,Australasia,CACaribbean,ECentralAfrica,ESouthAm,Eurasia,FSU,NAfrWEu,NEAsia,NorthAmerica,Pacific,SEAsia,SouthAfr,SouthWestAsia,WCentralAfrica
1961,1054892.353,6012602.405,7117.798891,1682042.573,6103402.849,25681425.63,63808309.28,19630556.03,26352783.5,31951538,0,59219.28319,1466182.486,20307084.21,92694.59893
1962,1034837.991,6721685.317,6982.483748,1724897.643,5135879.525,26721138.97,68256584.38,20814243.09,24858083.86,29280728,0,62866.65412,1435690.337,21404630.49,95056.27133
1963,976482.385,6720679.277,6588.73412,1709969.011,7080688.881,26000923.3,65409994.49,20014278.28,24495930.61,30390210,0,64168.87787,1579165.074,21586917.51,94233.57901
1964,1075976.32,7307015.654,7260.061221,1780010.214,7542466.618,27059090.94,68710487.57,20975801.73,26047780.72,32974325,0,64321.3969,1381629.467,21514924.89,98093.43449
1965,1051137.749,7138725.86,7092.465013,1875226.003,6025762.786,27492395.5,70957735.16,21388067.23,25325931.54,32367259,0,66859.51649,1425979.624,21754232.94,103340.62
1966,985206.7855,8475672.114,6647.601291,1851349.017,6547236.613,26919457.17,70683534.41,20842818.97,24481370.56,32824193,0,65882.5614,1199139.515,20782481.88,102024.7985
1967,829239.4453,9131260.683,5595.224565,1886066.763,7161502.33,27256345.93,67762044.93,20871774.6,25801937.11,36581974,0,64919.30183,1364361.055,20928437.59,103938.0364
1968,1027060.511,10897021.17,6930.005839,1976263.598,7450180.484,28378268.88,67998202.31,21489335.79,25124732.41,34860846,0,70206.07059,1739534.621,23747490.52,108908.6356
1969,1013197.877,9536716.244,6836.468864,1970064.617,7232595.654,28135270.86,65982889.2,21229323.55,25593847.12,30021679,0,71974.38768,1919316.51,24927763.49,108567.0199
1970,905204.3268,6526590.268,6107.791319,2026579.141,6162630.882,28165584.34,65944530.29,20865031.55,25833476.66,23567449,0,73532.37844,2001304.968,25789324.96,111681.4424
1971,902274.756,7185774.473,6088.024282,1964705.915,7128317.22,27728874.33,64745884.32,20980873.28,25948822.04,27764880,0,72755.83762,2079127.965,27307550.12,108271.7107
1972,784820.5848,7651086.709,5295.511978,2114262.078,7776290.903,28955255.42,59189270.73,21461678.48,26563447.52,28469065,0,75183.90056,2091390.082,28508542.58,116513.5048
1973,719979.8652,8992385.256,4858.004586,2014442.6,6247936.13,27571167.87,63809528.9,20557701.81,26652320.51,32128066,0,71690.89349,2095877.945,28397933.59,111012.6176
1974,850981.2345,8353654.627,5741.925489,2110441.989,7236791.84,28750047.94,60360038.09,21233975.7,27284375.24,36165249,0,72662.52515,1939255.673,27638421.24,116302.9859
1975,930131.7104,8598561.942,6275.986778,2130198.962,8784293.303,28172300.36,62628206.33,20093200.82,27888100.47,38381777,0,71342.48627,1913950.82,26901214.05,117391.7603
1976,975399.4911,9003105.406,6581.427384,2132389.059,10945307.08,28847222.96,60194878.05,20905526.2,28640270.92,40848540,0,74138.47567,2034027.878,29693158.61,117512.4529
1977,796146.2581,9997353.867,5371.931021,2011240.202,7804649.811,27011527.82,62660181.46,19625267.24,28299922.83,37810763,0,76612.77663,1898765.269,30469213.39,110836.1387
1978,693943.2504,10292880.32,4682.324681,2038211.019,8114139.425,27658974.91,63550378.95,20372779.11,29473954.22,34197626,0,77237.61139,1966714.234,31081282.17,112322.456
1979,747567.3212,11193780.78,5044.148663,1997223.567,9210253.53,26745987.97,58271368.82,19552199.07,29651403.76,36381826,0,78811.67407,1973272.095,32462946.57,110063.705
1980,683698.0211,11325763.7,4613.195843,2033475.793,8663446.783,27540558.47,62082848.99,20470027.92,29568797.37,40715804,0,81041.71476,1698547.625,32271360.91,112061.5055
1981,690779.7059,11926759.3,4660.978926,2018486.929,8324809.315,27131925.8,59823433.66,19952146.57,28694073.83,45921360,0,82820.34258,1883020.244,32600118.83,111235.4939
1982,625452.0515,11564378.13,4220.185982,1984265.337,10583609.76,27258664.46,57940729.86,20218337.46,28349056,45069360,0,83946.81494,2082816.161,32606103.19,109349.5982
1983,592876.4238,12976795.25,4000.384629,2027773.048,9373970.192,27937435.65,51508233.94,20736930.91,29476733.94,39380843,0,85227.40102,1890346.975,34188693.65,111747.2367
1984,663464.1984,12122430.13,4476.669798,1904461.856,8086742.132,26849145.07,51720051.28,20726888.62,30004102.92,41279750,0,84571.44647,2009008.284,35211546.64,104951.7597
1985,686502.0302,11724963.26,4632.115663,2106521.511,8510721.854,28223229.58,50902292.56,20738566.42,29647058.43,41130080,0,84275.84362,2057117.731,34067607.72,116086.9349
1986,751152.2634,11179650.11,5068.337764,2073075.256,9281977.399,28273832.42,49390314.33,21085652.19,30055673.88,39990630,0,83856.41042,2018940.928,33447836.71,114243.7668
1987,780839.3574,9050569.126,5268.648975,2109959.303,8772478.994,28700372.49,47359946.45,21245885.56,29273573.2,37091797,0,88306.9706,1823238.689,34136278.83,116276.3859
1988,792187.0805,8870854.52,5345.216798,2038976.937,8658751.703,27879621.25,48711182.97,20884494.47,29262554.93,35382062,0,84662.24184,2080741.183,33613561.83,112364.6645
1989,814619.7658,9049374.347,5496.579486,2075461.748,9099472.655,28489554.67,48349985.54,21373671.52,30328142.74,40028680,0,87828.495,1916024.897,35054549.77,114375.2825
1990,761295.2058,9265342.387,5136.776429,2171452.048,8974796.018,29316455.23,48878914.97,21246878.91,31219313.74,42995263,0,88890.60154,1639402.305,34579712.66,119665.15
1991,663045.8632,7229958.143,4473.847117,2336307.739,7049020.29,30703180.22,46570550.33,21698515.76,31395729.83,38536792,0,90328.93627,1518202.735,35424162.24,128750.0759
1992,666140.8082,8319703.594,4494.730002,2307550.193,6667767.462,29969478.15,47222866.66,20857019.21,30916705.07,40144982,0,89053.21242,831190.9035,34359977.71,127165.2948
1993,682176.5797,8436640.403,4602.930044,2332985.124,6720514.49,30770827.46,46482071.17,20401742.04,30639353.24,38630498,0,95282.57239,1157085.829,36463299.19,128566.972
1994,633160.3203,7942570.056,4272.196888,2285802.657,7007734.483,30299816.64,42261456.17,20511911.93,29348037.06,36734572,0,93035.7797,1128425.719,36741697.16,125966.8239
1995,663217.9748,9272061.587,4475.008425,2188350.916,6342802.017,29637167.34,42392715.49,20813007.36,29225649.48,36737031,0,92542.05298,1439996.89,37232867.46,120596.4188
1996,713696.8759,10984068.51,4815.610635,2388011.437,9424733.514,30929142.62,44297849.81,21056739.32,29990677.78,38485240,0,96054.73564,1377821.924,36981628.48,131599.3816
1997,738742.4713,10494544.42,4984.603718,2179228.556,7766959.925,29995702.24,46374952.42,21328460.75,30432372.05,37596203,0,94634.80231,1458675.921,37680772.14,120093.7005
1998,701197.0468,11595692.31,4731.269072,2371889.229,7319599.684,31461444.08,39661232.7,21594429.1,30161818.18,35326544,0,97518.83547,831454.6655,38849188.98,130710.9132
1999,624977.9792,12384037.67,4216.987218,2106710.223,7863923.034,28306758.49,39323319.59,20238499.31,29243757.73,32808112,0,95541.25517,792124.371,39429937.01,116097.3345
2000,610769.8973,12191611.05,4121.119361,2085344.243,7923889.983,28968582.54,41663485.53,21198793.13,27057838.44,33036668,0,96220.52807,1007372.611,39477290.03,114919.8904
2001,698691.936,11582814.45,4714.366044,2186166.686,9052681.698,29982919.03,45611729.85,21109672.9,25071680.73,30909248,0,91533.48562,1050920.038,37137776.78,120476.0494
2002,731223.4639,11222800.68,4933.869838,2204728.678,8652213.666,30202671.88,48199203.13,21539003.52,24323177.18,27889559,0,90444.20692,1018573.14,37616127.61,121498.9703
2003,708118.87,13114355.88,4777.973502,2377151.84,8785522.156,30551742.28,38896240.14,20496270.11,22427084.55,32293300,0,94616.33837,831639.8299,36987071.11,131000.9271
2004,759632.8902,13450085.99,5125.560092,2440104.705,9406255.55,31964209.77,45499746.01,22037359.55,22050148.18,30128200,0,91864.25751,915854.8197,38043098.56,134470.1559
2005,715046.8182,12505365.17,4824.719259,2525448.162,7836398.463,32522959.87,48457450.8,22149315.08,23227108.35,30314948,0,96065.84371,893857.62,38354912.8,139173.2934
2006,722568.888,11845071.69,4875.473803,2313182.047,7601676.638,30138504.27,45617626.01,20693417.27,24053469.69,29267531,0,96481.27456,846389.0597,38507385.04,127475.657
2007,709046.1897,12626274.65,4784.230515,2307024.46,8128702.58,30111799.66,47077717.68,20557328.81,24154812.04,29966779,0,97323.72899,713172.4057,40123274.23,127136.3225
2008,900385.8167,13578067.18,6075.278821,2042146.368,7262234.904,28316056.76,51390601.47,21017994.2,24043882.42,33374235,0,94619.32449,819852.6987,39830343.25,112539.3267
2009,1049487.683,13839996.7,7081.331332,2245336.889,6412599.985,30127623.02,53470972.39,20801029.24,24735808.67,30657808,0,102704.0369,721501.9352,40549284.3,123736.822
2010,984665.3385,13555682.8,6643.947923,2273472.447,7166736.714,30177673.42,46493121.9,21166503.23,24700134.41,28225450,0,103017.1266,637991.8817,41358302.47,125287.3263
2011,974279.9294,13534592.68,6573.873234,2266307.925,7153375.786,29439823.19,46342185.91,21079335.05,24674241.2,28195888.23,0,102898.9548,637155.3807,41313705.28,124892.5013
2012,991449.7911,13662430.36,6689.725456,2282903.693,7212642.736,29608519.81,46543705.32,21148046.55,24675121.06,28299008.66,0,102933.7398,638426.213,41318127.43,125807.0668
2013,1007399.544,13781183.75,6797.345093,2298320.148,7267698.112,29765228.68,46730904.55,21211875.33,24675938.4,28394801.23,0,102966.053,639606.7386,41322235.33,126656.6422
2014,1025145.956,13913314.12,6917.087543,2315473.189,7328955.199,29939590,46939190.83,21282894.11,24676847.81,28501384.36,0,103002.0062,640920.2444,41326805.96,127601.9181
2015,1046765.878,14074284.59,7062.966177,2336370.225,7403582.872,30152009.18,47192939.76,21369414.15,24677955.71,28631231.39,0,103045.8068,642520.4492,41332374.23,128753.5193
2016,1061312.015,14182587.4,7161.11503,2350429.995,7453793.244,30294927.29,47363665.01,21427625.85,24678701.12,28718593.99,0,103075.2763,643597.0858,41336120.63,129528.3301
