yr,PricesPerBushel,PricePerTon,Deflator,DeflatedPricePerTon
1960,1.76,64.66903052,0.17265838,374.5490399
1961,1.74,63.93415517,0.174555922,366.2674666
1962,1.83,67.24109423,0.176701033,380.5359434
1963,2.04,74.95728537,0.17870297,419.4518169
1964,1.85,67.97596958,0.181447061,374.6325199
1965,1.37,50.33896125,0.184757349,272.4598588
1966,1.35,49.60408591,0.189946462,261.1477228
1967,1.63,59.89234076,0.195467591,306.4054792
1968,1.39,51.0738366,0.203791925,250.6175682
1969,1.24,45.5622715,0.213812454,213.0945629
1970,1.25,45.92970917,0.225098549,204.0426712
1971,1.33,48.86921056,0.23653154,206.6075864
1972,1.34,49.23664823,0.246756748,199.535164
1973,1.76,64.66903052,0.260183246,248.5518632
1974,3.95,145.137881,0.283563396,511.8357409
1975,4.09,150.2820084,0.309822347,485.0586465
1976,3.55,130.4403741,0.326838622,399.097185
1977,2.73,100.3104848,0.347115515,288.9830059
1978,2.33,85.6129779,0.371483124,230.4626302
1979,2.97,109.128989,0.402142545,271.3689221
1980,3.78,138.8914405,0.438415216,316.8034216
1981,3.91,143.6681303,0.479358023,299.7094519
1982,3.66,134.4821885,0.509086067,264.1639539
1983,3.55,130.4403741,0.52918037,246.4951112
1984,3.53,129.7054987,0.547966264,236.7034381
1985,3.39,124.5613713,0.565493064,220.2703785
1986,3.08,113.1708034,0.576910186,196.1671092
1987,2.42,88.91991696,0.591621781,150.2985857
1988,2.57,94.43148206,0.612332084,154.2161264
1989,3.72,136.6868145,0.636144409,214.8675874
1990,3.72,136.6868145,0.659679994,207.2016975
1991,2.61,95.90123275,0.681628917,140.6941965
1992,3,110.231302,0.697168274,158.1129065
1993,3.24,119.0498062,0.713757318,166.7931146
1994,3.26,119.7846815,0.728955186,164.3237935
1995,3.45,126.7659973,0.744152682,170.3494462
1996,4.55,167.1841414,0.757735212,220.6366269
1997,4.3,157.9981996,0.770700875,205.005865
1998,3.38,124.1939336,0.779071976,159.4126568
1999,2.65,97.37098345,0.790990284,123.1001005
2000,2.48,91.124543,0.808990376,112.6398357
2001,2.62,96.26867043,0.82742815,116.3468639
2002,2.78,102.1476732,0.840125842,121.5861578
2003,3.56,130.8078117,0.856883112,152.6553737
2004,3.4,124.928809,0.880441327,141.893395
2005,3.4,124.928809,0.908774417,137.4695486
2006,3.42,125.6636843,0.936695322,134.1564129
2007,4.26,156.5284489,0.961621857,162.7754691
2008,6.48,238.0996124,0.980483768,242.8389129
2009,6.78,249.1227426,0.987931357,252.1660445
2010,4.87,178.9421469,1,178.9421469
2011,4.87,178.9421469,1,178.9421469
2012,4.87,178.9421469,1,178.9421469
2013,4.87,178.9421469,1,178.9421469
2014,4.87,178.9421469,1,178.9421469
2015,4.87,178.9421469,1,178.9421469
2016,4.87,178.9421469,1,178.9421469
2017,4.87,178.9421469,1,178.9421469
2018,4.87,178.9421469,1,178.9421469
2019,4.87,178.9421469,1,178.9421469
2020,4.87,178.9421469,1,178.9421469
2021,4.87,178.9421469,1,178.9421469
2022,4.87,178.9421469,1,178.9421469
2023,4.87,178.9421469,1,178.9421469
2024,4.87,178.9421469,1,178.9421469
2025,4.87,178.9421469,1,178.9421469
2026,4.87,178.9421469,1,178.9421469
2027,4.87,178.9421469,1,178.9421469
2028,4.87,178.9421469,1,178.9421469
2029,4.87,178.9421469,1,178.9421469
2030,4.87,178.9421469,1,178.9421469
2031,4.87,178.9421469,1,178.9421469
2032,4.87,178.9421469,1,178.9421469
2033,4.87,178.9421469,1,178.9421469
2034,4.87,178.9421469,1,178.9421469
2035,4.87,178.9421469,1,178.9421469
2036,4.87,178.9421469,1,178.9421469
2037,4.87,178.9421469,1,178.9421469
2038,4.87,178.9421469,1,178.9421469
2039,4.87,178.9421469,1,178.9421469
2040,4.87,178.9421469,1,178.9421469
2041,4.87,178.9421469,1,178.9421469
2042,4.87,178.9421469,1,178.9421469
2043,4.87,178.9421469,1,178.9421469
2044,4.87,178.9421469,1,178.9421469
2045,4.87,178.9421469,1,178.9421469
2046,4.87,178.9421469,1,178.9421469
2047,4.87,178.9421469,1,178.9421469
2048,4.87,178.9421469,1,178.9421469
2049,4.87,178.9421469,1,178.9421469
2050,4.87,178.9421469,1,178.9421469
