yr,PricesPerBushel,PricePerTon,Deflator2010,Deflator2016,Deflator2018,r.P.Ton.b2010,r.P.Ton.b2016,r.P.Ton.b2018
1960,1.76,64.66903052,0.17265838,0.156860584,0.150848626,374.5490399,412.2707489,428.7014899
1961,1.74,63.93415517,0.174555922,0.158584505,0.152453398,366.2674666,403.155119,419.3685149
1962,1.83,67.24109423,0.176701033,0.160533345,0.154312033,380.5359434,418.8606074,435.7475752
1963,2.04,74.95728537,0.17870297,0.16235211,0.156080003,419.4518169,461.6957894,480.2491285
1964,1.85,67.97596958,0.181447061,0.164845123,0.158455429,374.6325199,412.3626363,428.9911049
1965,1.37,50.33896125,0.184757349,0.167852529,0.161365779,272.4598588,299.8999278,311.9556169
1966,1.35,49.60408591,0.189946462,0.172566851,0.165880902,261.1477228,287.4485202,299.0343386
1967,1.63,59.89234076,0.195467591,0.177582811,0.17069522,306.4054792,337.264291,350.8729812
1968,1.39,51.0738366,0.203791925,0.18514549,0.177957496,250.6175682,275.8578491,287.0001978
1969,1.24,45.5622715,0.213812454,0.194249167,0.186688547,213.0945629,234.5558142,244.0549899
1970,1.25,45.92970917,0.225098549,0.204502613,0.196534779,204.0426712,224.5922854,233.6976151
1971,1.33,48.86921056,0.23653154,0.214889515,0.206498876,206.6075864,227.4155192,236.6560611
1972,1.34,49.23664823,0.246756748,0.224179143,0.21542939,199.535164,219.6308166,228.5512122
1973,1.76,64.66903052,0.260183246,0.236377151,0.227233989,248.5518632,273.5841021,284.5922431
1974,3.95,145.137881,0.283563396,0.257618078,0.247678973,511.8357409,563.3839143,585.9919365
1975,4.09,150.2820084,0.309822347,0.281474403,0.270626315,485.0586465,533.9100361,555.3118831
1976,3.55,130.4403741,0.326838622,0.296933732,0.285513527,399.097185,439.291195,456.8623256
1977,2.73,100.3104848,0.347115515,0.315355341,0.303256691,288.9830059,318.0871596,330.7774825
1978,2.33,85.6129779,0.371483124,0.337493378,0.324590194,230.4626302,253.6730602,263.75713
1979,2.97,109.128989,0.402142545,0.365347541,0.351517734,271.3689221,298.6991203,310.4508775
1980,3.78,138.8914405,0.438415216,0.398301356,0.383268659,316.8034216,348.7094344,362.3866375
1981,3.91,143.6681303,0.479358023,0.435498002,0.419534707,299.7094519,329.8938911,342.4463531
1982,3.66,134.4821885,0.509086067,0.462506007,0.445455864,264.1639539,290.768523,301.8978967
1983,3.55,130.4403741,0.52918037,0.480761732,0.462899833,246.4951112,271.3202098,281.7896329
1984,3.53,129.7054987,0.547966264,0.497828766,0.479600348,236.7034381,260.5423944,270.4449636
1985,3.39,124.5613713,0.565493064,0.513751909,0.494768623,220.2703785,242.454323,251.7568123
1986,3.08,113.1708034,0.576910186,0.524124393,0.504732719,196.1671092,215.9235571,224.2192731
1987,2.42,88.91991696,0.591621781,0.537489916,0.51720824,150.2985857,165.4355075,171.9228546
1988,2.57,94.43148206,0.612332084,0.55630528,0.535459128,154.2161264,169.7475928,176.3560972
1989,3.72,136.6868145,0.636144409,0.577938839,0.556448103,214.8675874,236.5074042,245.6416217
1990,3.72,136.6868145,0.659679994,0.599320978,0.577273881,207.2016975,228.0694646,236.7798353
1991,2.61,95.90123275,0.681628917,0.619261631,0.596803148,140.6941965,154.8638378,160.6915665
1992,3,110.231302,0.697168274,0.633379177,0.610402916,158.1129065,174.0368267,180.5877711
1993,3.24,119.0498062,0.713757318,0.648450367,0.624864002,166.7931146,183.5912389,190.5211466
1994,3.26,119.7846815,0.728955186,0.662257669,0.638209908,164.3237935,180.8732267,187.6885333
1995,3.45,126.7659973,0.744152682,0.676064634,0.651592079,170.3494462,187.5057369,194.5480943
1996,4.55,167.1841414,0.757735212,0.688404397,0.663514543,220.6366269,242.8574572,251.9675616
1997,4.3,157.9981996,0.770700875,0.700183735,0.674956481,205.005865,225.6524846,234.086499
1998,3.38,124.1939336,0.779071976,0.707788902,0.682554218,159.4126568,175.467478,181.954679
1999,2.65,97.37098345,0.790990284,0.718616716,0.692409516,123.1001005,135.4977992,140.6262929
2000,2.48,91.124543,0.808990376,0.734969845,0.707895119,112.6398357,123.9840567,128.7260508
2001,2.62,96.26867043,0.82742815,0.751720611,0.723416987,116.3468639,128.0644284,133.0749376
