yr,Andean,Australasia,CACaribbean,ECentralAfrica,ESouthAm,Eurasia,FSU,NAfrWEu,NEAsia,NorthAmerica,Pacific,SEAsia,SouthAfr,SouthWestAsia,WCentralAfrica
1961,1174372.985,6954462.003,2088.935949,1184457.422,6948243.079,29945706.52,63394467.72,35385010.1,16144761.53,42653910,0,35063.87303,968154.9484,17520770.59,45760.28302
1962,1192996.088,8603819.184,2122.062111,1479159.154,7094761.85,35974439.94,67524119.9,43546010.23,18411950.95,46566260,0,37251.74278,826327.8152,19002832.31,57145.77851
1963,1121574.392,9162043.179,1995.019552,1523068.684,9980248.588,34661927.02,47641321.33,38731511.12,19281191.55,52605890,0,36294.15996,1004929.488,17528670.29,58842.17764
1964,1381446.266,10295739.11,2457.271075,1410782.065,12701006.46,35370100.07,70960142.62,42755320.84,22179717.99,53480070,0,38340.30038,1175719.194,16986362.71,54504.10066
1965,1358051.207,7337636.797,2415.656714,1534517.783,7448872.137,38325302.28,57177044.37,47531382.66,26610958.15,55629350,0,40588.5712,781868.5987,19808662.28,59284.50169
1966,1323045.673,12981125.15,2353.390026,1526078.629,7625923.937,37565030.08,95585611.13,43290133.17,26403290.85,59678070,0,35704.64384,673176.3783,17036988.51,58958.46374
1967,1104038.386,7863809.518,1963.827083,1619634.303,8587056.787,41722741.4,74030449.92,50434381.7,29584109.34,59290090,0,39518.79305,1209850.269,18745625.87,62572.89008
1968,1330751.589,15095788.57,2367.097054,1755744.821,7364888.314,42466457.97,88944690.73,51685623.82,28584579.61,62135130,0,50674.63978,1391014.714,25968314.75,67831.37867
1969,1328027.832,10839070.63,2362.252124,1698921.625,9160834.916,41472137.24,76282374.11,49917045.53,28156216.58,59857760,0,52139.95552,1455353.8,28352442.47,65636.07347
1970,1310409.517,8169284.63,2330.913248,1691822.768,7521227.569,40101673.05,94856862.39,46905923.83,29770713.5,48484700,0,54703.87456,1534771.517,30271169.62,65361.81649
1971,1300880.167,8939764.957,2313.962753,1952617.379,8202792.871,47483513.06,94156400.32,57089191.77,33115664.73,60295950,0,49442.40614,1830163.157,33031452.86,75437.34558
